Exit,Ent,Exit_Ref,Ent_Ref,Ent_Mile,Exit_Mile
1,1,101,101,0.48,0.48
2,2,102,102,0.92 ,0.92 
3,3,103,103,1.77 ,1.77 
4,4,104,104,2.18,2.18
5,5,105,105,2.70 ,2.70 
6,6,106,106,4,4
6A,6A,107,107,5.14,5.14
7,7,108,108,7.58 ,7.58 
7A,7A,109,109,10.33 ,10.33 
8,8,110,110,11.31,11.31
8A,8A,111,111,11.80 ,11.80 
9,9,112,112,12.65,12.65
10,10,113,113,16.75,16.75
11,11,114,114,17.63,17.63
12,12,115,115,18.76,18.76
13,13,116,116,20.94,20.94
14,14,117,117,22.8,22.8
14A,14A,118,118,23.53,23.53
14B,14B,119,119,27.62,27.62
15,15,120,120,30.17,30.17
15A,15A,121,121,31.35,31.35
16,16,122,122,45.2,45.2
17,17,123,123,60.1,60.1
18,18,124,124,76.01,76.01
19,19,125,125,91.37,91.37
20,20,126,126,101.25,101.25
21,21,127,127,113.89,113.89
21B,21B,128,128,124.53,124.53
21A,21A,129,129,133.6,133.6
22,22,130,130,134.93,134.93
23,23,131,131,141.92,141.92
24,24,132,132,148.15,148.15
25,25,133,133,153.83,153.83
25A,25A,134,134,158.82,158.82
26,26,135,135,162.22,162.22
27,27,136,136,173.59,173.59
28,28,137,137,182.17,182.17
29,29,138,138,194.1,194.1
29A,29A,139,139,210.62,210.62
30,30,140,140,219.7,219.7
31,31,141,141,232.85,232.85
32,32,142,142,243.37,243.37
33,33,143,143,252.71,252.71
34,34,144,144,261.5,261.5
34A,34A,145,145,276.58,276.58
35,35,146,146,278.93,278.93
36,36,147,147,282.93,282.93
37,37,148,148,283.79,283.79
38,38,149,149,285.95,285.95
39,39,150,150,289.53,289.53
40,40,151,151,304.19,304.19
41,41,152,152,320.41,320.41
42,42,153,153,327.1,327.1
43,43,154,154,340.15,340.15
44,44,155,155,347.13,347.13
45,45,156,156,350.99,350.99
46,46,157,157,362.44,362.44
47,47,158,158,378.56,378.56
48,48,159,159,390.13,390.13
48A,48A,160,160,401.72,401.72
49,49,161,161,417.27,417.27
50,50,162,162,420.34,420.34
50A,50A,163,163,420.93,420.93
51,51,164,164,421.57,421.57
52,52,165,165,423.19,423.19
52A,52A,166,166,424.92,424.92
53,53,167,167,426.17,426.17
54,54,168,168,427.94,427.94
55,55,169,169,429.47,429.47
56,56,170,170,432.45,432.45
57,57,171,171,436.22,436.22
57A,57A,172,172,444.87,444.87
58,58,173,173,455.54,455.54
59,59,174,174,467.74,467.74
60,60,175,175,485,485
61,61,176,176,494.92,494.92
B1,B1,129,129,133.6,133.6
B2,B2,129,129,133.6,133.6
B3,B3,129,129,133.6,133.6
16H,16H,122,122,45.2,45.2
