trip,Q1,Q2,diff,diff pct
22-49,14,1.0,-13.0,-92.85714285714286
16H-32,8,1.0,-7.0,-87.5
20-37,8,1.0,-7.0,-87.5
16H-36,7,1.0,-6.0,-85.71428571428571
22-43,73,13.0,-60.0,-82.1917808219178
25-37,20,4.0,-16.0,-80.0
22-44,17,4.0,-13.0,-76.47058823529412
21-42,119,29.0,-90.0,-75.63025210084034
22-28,904,239.0,-665.0,-73.56194690265487
18-38,142,42.0,-100.0,-70.4225352112676
19-49,10,3.0,-7.0,-70.0
16-34A,10,3.0,-7.0,-70.0
23-40,1309,406.0,-903.0,-68.98395721925134
20-46,25,8.0,-17.0,-68.0
22-29,306,100.0,-206.0,-67.3202614379085
16H-22,121,44.0,-77.0,-63.63636363636363
15-16,79,29.0,-50.0,-63.29113924050633
16-39,5,2.0,-3.0,-60.0
21B-44,5,2.0,-3.0,-60.0
20-47,12,5.0,-7.0,-58.333333333333336
15-37,25,11.0,-14.0,-56.00000000000001
22-32,18,8.0,-10.0,-55.55555555555556
40-B1,43,20.0,-23.0,-53.48837209302325
29A-37,62,30.0,-32.0,-51.61290322580645
37-41,1031,506.0,-525.0,-50.921435499515034
22-27,899,449.0,-450.0,-50.055617352614014
16H-B2,2,1.0,-1.0,-50.0
18-B2,6,3.0,-3.0,-50.0
22-33,18,9.0,-9.0,-50.0
16-48,2,1.0,-1.0,-50.0
34-B2,2,1.0,-1.0,-50.0
21-36,39,20.0,-19.0,-48.717948717948715
37-38,561,292.0,-269.0,-47.95008912655972
23-37,73,38.0,-35.0,-47.94520547945205
37-45,1076,568.0,-508.0,-47.21189591078067
17-49,59,32.0,-27.0,-45.76271186440678
16H-34A,9,5.0,-4.0,-44.44444444444444
21B-32,41,23.0,-18.0,-43.90243902439025
31-37,585,331.0,-254.0,-43.41880341880342
32-37,440,250.0,-190.0,-43.18181818181818
26-B1,204,116.0,-88.0,-43.13725490196079
25-38,135,77.0,-58.0,-42.96296296296296
17-47,21,12.0,-9.0,-42.857142857142854
17-48,28,16.0,-12.0,-42.857142857142854
22-24,6946,3972.0,-2974.0,-42.81600921393608
29-46,327,187.0,-140.0,-42.813455657492355
21B-33,92,53.0,-39.0,-42.391304347826086
25A-37,79,46.0,-33.0,-41.77215189873418
35-37,2452,1428.0,-1024.0,-41.76182707993475
21-B2,24,14.0,-10.0,-41.66666666666667
22-48,12,7.0,-5.0,-41.66666666666667
26-37,72,42.0,-30.0,-41.66666666666667
18-22,1071,627.0,-444.0,-41.45658263305322
20-40,29,17.0,-12.0,-41.37931034482759
37-48,214,127.0,-87.0,-40.654205607476634
30-37,128,76.0,-52.0,-40.625
34A-38,1598,954.0,-644.0,-40.30037546933667
18-43,5,3.0,-2.0,-40.0
20-29A,30,18.0,-12.0,-40.0
18-37,20,12.0,-8.0,-40.0
15-36,901,550.0,-351.0,-38.95671476137625
37-39,1666,1022.0,-644.0,-38.655462184873954
37-47,139,86.0,-53.0,-38.1294964028777
34A-37,473,293.0,-180.0,-38.05496828752643
20-48A,32,20.0,-12.0,-37.5
36-37,8085,5082.0,-3003.0,-37.142857142857146
24-37,641,403.0,-238.0,-37.129485179407176
18-46,100,63.0,-37.0,-37.0
18-39,166,105.0,-61.0,-36.74698795180723
21B-49,30,19.0,-11.0,-36.666666666666664
17-48A,131,83.0,-48.0,-36.6412213740458
33-37,671,426.0,-245.0,-36.51266766020864
27-37,215,137.0,-78.0,-36.27906976744186
15-38,352,225.0,-127.0,-36.07954545454545
17-34,92,59.0,-33.0,-35.869565217391305
37-44,99,64.0,-35.0,-35.35353535353536
17-37,153,99.0,-54.0,-35.294117647058826
19-31,562,364.0,-198.0,-35.231316725978644
37-49,347,225.0,-122.0,-35.158501440922194
15-18,11432,7520.0,-3912.0,-34.21973407977607
18-50,143,95.0,-48.0,-33.56643356643357
16H-38,3,2.0,-1.0,-33.33333333333333
37-B1,12,8.0,-4.0,-33.33333333333333
23-42,338,226.0,-112.0,-33.13609467455622
17-42,154,104.0,-50.0,-32.467532467532465
37-42,555,376.0,-179.0,-32.25225225225225
22-26,230,157.0,-73.0,-31.73913043478261
18-47,16,11.0,-5.0,-31.25
40-48A,1347,927.0,-420.0,-31.180400890868597
23-36,550,379.0,-171.0,-31.09090909090909
22-B1,7802,5388.0,-2414.0,-30.940784414252754
57-57A,841,581.0,-260.0,-30.915576694411417
37-46,973,673.0,-300.0,-30.832476875642346
16-33,30,21.0,-9.0,-30.0
38-B1,50,35.0,-15.0,-30.0
19-48A,17,12.0,-5.0,-29.411764705882355
22-48A,58,41.0,-17.0,-29.310344827586203
40-50,8471,5992.0,-2479.0,-29.264549639948058
27-34,364,259.0,-105.0,-28.846153846153843
23-46,561,400.0,-161.0,-28.698752228163993
19-48,7,5.0,-2.0,-28.57142857142857
37-B3,593,424.0,-169.0,-28.499156829679595
25-32,67,48.0,-19.0,-28.35820895522388
48-B1,25,18.0,-7.0,-28.000000000000004
34-37,624,450.0,-174.0,-27.884615384615387
15-41,5400,3895.0,-1505.0,-27.870370370370374
37-50,2262,1636.0,-626.0,-27.674624226348364
25-29,134,97.0,-37.0,-27.611940298507463
23-48,174,126.0,-48.0,-27.586206896551722
16H-24,1260,916.0,-344.0,-27.3015873015873
17-22,4130,3011.0,-1119.0,-27.09443099273608
47-B1,16,12.0,-4.0,-25.0
16H-35,4,3.0,-1.0,-25.0
26-44,44,33.0,-11.0,-25.0
18-44,4,3.0,-1.0,-25.0
20-22,857,644.0,-213.0,-24.854142357059512
15-39,1202,909.0,-293.0,-24.37603993344426
56-61,16845,12776.0,-4069.0,-24.155535767289997
22-23,1795,1363.0,-432.0,-24.06685236768802
18-25A,1095,834.0,-261.0,-23.835616438356162
30-44,39,30.0,-9.0,-23.076923076923077
18-40,13,10.0,-3.0,-23.076923076923077
23-33,208,160.0,-48.0,-23.076923076923077
23-48A,469,361.0,-108.0,-23.02771855010661
28-37,244,188.0,-56.0,-22.950819672131146
37-48A,418,323.0,-95.0,-22.727272727272727
22-B3,20285,15741.0,-4544.0,-22.40078876016761
17-39,1367,1066.0,-301.0,-22.019019751280176
16H-B3,466,364.0,-102.0,-21.888412017167383
37-40,800,626.0,-174.0,-21.75
20-31,152,119.0,-33.0,-21.710526315789476
17-43,19,15.0,-4.0,-21.052631578947366
34A-35,3417,2701.0,-716.0,-20.954053263096284
21B-46,48,38.0,-10.0,-20.833333333333336
25A-40,267,212.0,-55.0,-20.59925093632959
22-31,167,133.0,-34.0,-20.35928143712575
16-22,114,91.0,-23.0,-20.175438596491226
18-49,5,4.0,-1.0,-20.0
20-35,10,8.0,-2.0,-20.0
15-34A,690,552.0,-138.0,-20.0
29A-30,425,342.0,-83.0,-19.52941176470588
22-37,21,17.0,-4.0,-19.047619047619047
36-46,13162,10664.0,-2498.0,-18.978878589879958
20-21B,1469,1193.0,-276.0,-18.788291354663038
23-47,38,31.0,-7.0,-18.421052631578945
25A-36,1054,860.0,-194.0,-18.40607210626186
16H-23,296,243.0,-53.0,-17.905405405405407
25A-29A,371,307.0,-64.0,-17.25067385444744
17-34A,1052,872.0,-180.0,-17.110266159695815
18-34A,118,98.0,-20.0,-16.94915254237288
15-33,609,509.0,-100.0,-16.420361247947454
40-48,672,562.0,-110.0,-16.36904761904762
24-38,1151,963.0,-188.0,-16.333622936576887
23-26,1759,1472.0,-287.0,-16.316088686753837
19-30,178,149.0,-29.0,-16.292134831460675
26-38,286,240.0,-46.0,-16.083916083916083
17-B3,21108,17725.0,-3383.0,-16.027098730339205
16-B3,310,261.0,-49.0,-15.806451612903224
18-B3,1071,902.0,-169.0,-15.779645191409896
15-B3,17640,14862.0,-2778.0,-15.74829931972789
23-34A,2026,1707.0,-319.0,-15.745310957551824
18-21B,747,630.0,-117.0,-15.66265060240964
21-22,1571,1328.0,-243.0,-15.467854869509868
20-50,52,44.0,-8.0,-15.384615384615385
22-36,39,33.0,-6.0,-15.384615384615385
15-26,2386,2021.0,-365.0,-15.297569153394802
15-23,35343,29940.0,-5403.0,-15.287327052032934
25A-44,197,167.0,-30.0,-15.228426395939088
21B-27,867,735.0,-132.0,-15.22491349480969
21B-35,209,178.0,-31.0,-14.832535885167463
23-30,1638,1397.0,-241.0,-14.713064713064714
31-43,447,383.0,-64.0,-14.317673378076062
28-B2,21,18.0,-3.0,-14.285714285714285
16H-50,7,6.0,-1.0,-14.285714285714285
27-39,1184,1016.0,-168.0,-14.18918918918919
40-46,2853,2450.0,-403.0,-14.125481948825797
18-31,279,240.0,-39.0,-13.978494623655912
26-36,387,333.0,-54.0,-13.953488372093023
18-33,29,25.0,-4.0,-13.793103448275861
29-37,29,25.0,-4.0,-13.793103448275861
25-39,109,94.0,-15.0,-13.761467889908257
15-49,80,69.0,-11.0,-13.750000000000002
15-22,5121,4422.0,-699.0,-13.649677797305213
25A-B2,66,57.0,-9.0,-13.636363636363635
29-40,265,229.0,-36.0,-13.584905660377359
58-61,26348,22811.0,-3537.0,-13.424168817367544
16H-18,464,402.0,-62.0,-13.36206896551724
29A-44,68,59.0,-9.0,-13.23529411764706
21-23,5339,4637.0,-702.0,-13.148529687207342
17-46,175,152.0,-23.0,-13.142857142857142
25A-34,308,269.0,-39.0,-12.662337662337661
29-38,136,119.0,-17.0,-12.5
41-50,34429,30152.0,-4277.0,-12.422666937755961
19-22,1868,1638.0,-230.0,-12.312633832976445
26-B3,3872,3399.0,-473.0,-12.215909090909092
17-36,920,808.0,-112.0,-12.173913043478262
57A-61,2112,1860.0,-252.0,-11.931818181818182
29A-48,17,15.0,-2.0,-11.76470588235294
20-32,9,8.0,-1.0,-11.11111111111111
27-32,614,546.0,-68.0,-11.074918566775244
26-42,127,113.0,-14.0,-11.023622047244094
21B-28,646,575.0,-71.0,-10.990712074303406
29-48,64,57.0,-7.0,-10.9375
25A-46,2404,2146.0,-258.0,-10.732113144758735
15-20,5844,5223.0,-621.0,-10.62628336755647
36-50,42678,38172.0,-4506.0,-10.558132995922959
23-25A,15153,13577.0,-1576.0,-10.400580743087177
35-B1,58,52.0,-6.0,-10.344827586206897
23-44,49,44.0,-5.0,-10.204081632653061
18-36,138,124.0,-14.0,-10.144927536231885
26-48A,426,383.0,-43.0,-10.093896713615024
41-48A,4175,3758.0,-417.0,-9.988023952095809
41-B1,263,237.0,-26.0,-9.885931558935361
33-B3,2655,2393.0,-262.0,-9.868173258003766
31-36,3200,2885.0,-315.0,-9.84375
22-25A,3268,2948.0,-320.0,-9.791921664626683
23-41,753,680.0,-73.0,-9.694555112881806
18-41,258,233.0,-25.0,-9.689922480620156
20-34A,62,56.0,-6.0,-9.67741935483871
39-41,21888,19773.0,-2115.0,-9.662828947368421
24-B1,645,583.0,-62.0,-9.612403100775193
39-B1,369,334.0,-35.0,-9.48509485094851
26-50,2408,2181.0,-227.0,-9.426910299003323
15-29A,881,798.0,-83.0,-9.421112372304199
23-31,3220,2919.0,-301.0,-9.347826086956522
23-28,3921,3568.0,-353.0,-9.002805406783985
27-46,338,308.0,-30.0,-8.875739644970414
46-50,88566,80716.0,-7850.0,-8.863446469299731
25-30,286,261.0,-25.0,-8.741258741258742
47-48,5695,5203.0,-492.0,-8.639157155399472
41-B3,10898,9963.0,-935.0,-8.579555881813176
26-39,517,473.0,-44.0,-8.51063829787234
29-48A,154,141.0,-13.0,-8.441558441558442
25-49,12,11.0,-1.0,-8.333333333333332
26-34A,1391,1277.0,-114.0,-8.195542774982027
25A-B3,46804,42999.0,-3805.0,-8.129647038714639
23-24,14384,13222.0,-1162.0,-8.078420467185762
25A-41,1193,1098.0,-95.0,-7.963118189438391
29A-47,13,12.0,-1.0,-7.6923076923076925
18-48A,52,48.0,-4.0,-7.6923076923076925
57A-58,351,324.0,-27.0,-7.6923076923076925
25A-B1,1529,1412.0,-117.0,-7.652060170045781
41-49,1729,1598.0,-131.0,-7.5766338924233665
39-46,17076,15787.0,-1289.0,-7.548606230967439
42-50,10996,10168.0,-828.0,-7.530010913059295
22-50,173,160.0,-13.0,-7.514450867052023
26-41,1465,1355.0,-110.0,-7.508532423208192
18-35,40,37.0,-3.0,-7.5
40-41,5549,5138.0,-411.0,-7.406739953144712
25A-31,3431,3178.0,-253.0,-7.373943456718159
15-24,110494,102548.0,-7946.0,-7.191340706282694
19-23,5450,5063.0,-387.0,-7.10091743119266
19-35,57,53.0,-4.0,-7.017543859649122
49-B1,57,53.0,-4.0,-7.017543859649122
57-61,11869,11040.0,-829.0,-6.984581683376864
31-48,279,260.0,-19.0,-6.810035842293908
27-50,3849,3587.0,-262.0,-6.806962847492855
17-24,38337,35764.0,-2573.0,-6.71153194042309
15-25A,14790,13801.0,-989.0,-6.686950642325897
15-19,14320,13405.0,-915.0,-6.389664804469273
17-18,8390,7864.0,-526.0,-6.269368295589989
25A-50,6721,6300.0,-421.0,-6.263948817140307
16H-21B,96,90.0,-6.0,-6.25
47-49,8992,8433.0,-559.0,-6.216637010676156
28-B1,575,540.0,-35.0,-6.086956521739131
57-58,846,795.0,-51.0,-6.028368794326241
27-35,516,485.0,-31.0,-6.007751937984496
41-42,2746,2583.0,-163.0,-5.935906773488711
48-50,71020,66841.0,-4179.0,-5.8842579555054915
18-20,1924,1812.0,-112.0,-5.8212058212058215
55-61,447240,421208.0,-26032.0,-5.8205884983454075
17-21B,7224,6810.0,-414.0,-5.730897009966777
23-35,195,184.0,-11.0,-5.641025641025641
25A-35,542,512.0,-30.0,-5.535055350553505
21B-39,127,120.0,-7.0,-5.511811023622047
34-50,2562,2422.0,-140.0,-5.46448087431694
25A-27,11481,10865.0,-616.0,-5.365386290392823
48-49,3242,3070.0,-172.0,-5.305367057371992
39-49,4644,4401.0,-243.0,-5.232558139534884
