trip,Q1,Q2,diff,diff pct
37-B1,24,1.0,-23.0,-95.83333333333334
23-37,422,69.0,-353.0,-83.64928909952607
16-44,5,1.0,-4.0,-80.0
49-B1,20,5.0,-15.0,-75.0
18-37,128,33.0,-95.0,-74.21875
16H-46,27,7.0,-20.0,-74.07407407407408
16H-34A,55,15.0,-40.0,-72.72727272727273
24-37,3906,1068.0,-2838.0,-72.65745007680492
27-37,1812,504.0,-1308.0,-72.18543046357617
25A-37,201,56.0,-145.0,-72.13930348258707
20-37,59,17.0,-42.0,-71.1864406779661
44-B2,41,12.0,-29.0,-70.73170731707317
37-B2,44,13.0,-31.0,-70.45454545454545
16-46,20,6.0,-14.0,-70.0
44-B1,10,3.0,-7.0,-70.0
37-B3,2422,733.0,-1689.0,-69.73575557390586
26-37,1146,351.0,-795.0,-69.3717277486911
33-37,26948,8331.0,-18617.0,-69.0849042600564
37-41,11286,3505.0,-7781.0,-68.9438242069821
49-B2,103,32.0,-71.0,-68.93203883495146
34A-37,48850,15313.0,-33537.0,-68.6530194472876
22-37,31,10.0,-21.0,-67.74193548387096
23-49,436,143.0,-293.0,-67.20183486238533
16H-42,6,2.0,-4.0,-66.66666666666666
16-40,3,1.0,-2.0,-66.66666666666666
19-37,132,44.0,-88.0,-66.66666666666666
16-42,9,3.0,-6.0,-66.66666666666666
37-46,5087,1704.0,-3383.0,-66.50285040298802
37-45,13474,4522.0,-8952.0,-66.43906783434763
25-37,205,69.0,-136.0,-66.34146341463415
35-37,90069,30886.0,-59183.0,-65.70851236274412
37-49,1363,469.0,-894.0,-65.59060895084373
32-37,16757,5781.0,-10976.0,-65.50098466312586
17-46,504,174.0,-330.0,-65.47619047619048
21-37,118,41.0,-77.0,-65.2542372881356
41-42,13246,4681.0,-8565.0,-64.66102974482862
28-37,669,240.0,-429.0,-64.12556053811659
37-39,87066,31726.0,-55340.0,-63.56097673029656
31-37,8769,3225.0,-5544.0,-63.22271638727335
16-36,19,7.0,-12.0,-63.1578947368421
37-50,8025,2963.0,-5062.0,-63.07788161993769
37-48,763,284.0,-479.0,-62.77850589777195
16-38,8,3.0,-5.0,-62.5
23-46,1140,429.0,-711.0,-62.36842105263158
25A-49,159,62.0,-97.0,-61.0062893081761
35-B2,137,54.0,-83.0,-60.58394160583942
32-33,71326,28173.0,-43153.0,-60.50107955023414
37-44,1769,700.0,-1069.0,-60.4296212549463
21B-37,55,22.0,-33.0,-60.0
17-44,104,42.0,-62.0,-59.61538461538461
17-37,168,68.0,-100.0,-59.523809523809526
37-38,17045,6955.0,-10090.0,-59.19624523320623
16H-32,44,18.0,-26.0,-59.09090909090909
19-47,36,15.0,-21.0,-58.333333333333336
16H-B2,55,23.0,-32.0,-58.18181818181818
34-37,28097,11791.0,-16306.0,-58.03466562266434
31-33,73534,30884.0,-42650.0,-58.00038077623956
37-40,32326,13714.0,-18612.0,-57.57594505970426
37-43,2843,1216.0,-1627.0,-57.22827998593035
37-42,5803,2492.0,-3311.0,-57.05669481302774
16H-33,95,41.0,-54.0,-56.84210526315789
18-46,484,210.0,-274.0,-56.611570247933884
16-50,137,60.0,-77.0,-56.20437956204379
18-41,162,71.0,-91.0,-56.17283950617284
37-47,486,213.0,-273.0,-56.17283950617284
37-48A,1229,539.0,-690.0,-56.14320585842149
23-45,3204,1407.0,-1797.0,-56.08614232209737
17-42,214,94.0,-120.0,-56.074766355140184
25A-36,589,260.0,-329.0,-55.85738539898133
20-42,70,31.0,-39.0,-55.714285714285715
21B-46,167,74.0,-93.0,-55.688622754491014
23-48A,412,184.0,-228.0,-55.33980582524271
46-B2,209,94.0,-115.0,-55.02392344497608
33-36,74303,33469.0,-40834.0,-54.95605830181823
25A-45,1201,542.0,-659.0,-54.87094088259784
22-35,106,48.0,-58.0,-54.71698113207547
24-46,9518,4319.0,-5199.0,-54.62281992015129
18-33,574,261.0,-313.0,-54.52961672473867
18-34,423,193.0,-230.0,-54.37352245862884
32-36,56327,25743.0,-30584.0,-54.2972286825146
17-48,70,32.0,-38.0,-54.285714285714285
26-46,2660,1218.0,-1442.0,-54.21052631578947
45-46,136055,62432.0,-73623.0,-54.11267502113116
15-37,180,83.0,-97.0,-53.888888888888886
17-33,888,410.0,-478.0,-53.82882882882883
30-37,2436,1126.0,-1310.0,-53.77668308702791
23-36,1382,639.0,-743.0,-53.76266280752533
15-23,303260,140374.0,-162886.0,-53.71166655674998
18-44,101,47.0,-54.0,-53.46534653465347
24-B2,6100,2841.0,-3259.0,-53.42622950819672
30-33,29776,13885.0,-15891.0,-53.368484685652874
25A-47,100,47.0,-53.0,-53.0
17-45,1545,730.0,-815.0,-52.75080906148867
25A-34A,2411,1144.0,-1267.0,-52.55080879303193
19-46,295,140.0,-155.0,-52.54237288135594
26-36,3132,1492.0,-1640.0,-52.36270753512133
23-38,444,212.0,-232.0,-52.25225225225225
23-34A,6417,3067.0,-3350.0,-52.20508025557113
24-49,3561,1708.0,-1853.0,-52.035944959281096
25-46,543,261.0,-282.0,-51.93370165745856
19-42,135,65.0,-70.0,-51.85185185185185
16H-23,8782,4240.0,-4542.0,-51.719426098838525
25-36,698,337.0,-361.0,-51.719197707736384
21B-48,91,44.0,-47.0,-51.64835164835166
41-45,203014,98345.0,-104669.0,-51.55752805225256
25A-46,513,249.0,-264.0,-51.461988304093566
16H-B3,952,464.0,-488.0,-51.26050420168067
23-48,273,134.0,-139.0,-50.91575091575091
33-B2,177,87.0,-90.0,-50.847457627118644
